issued_year,issn,articles,oa
2015,0273-1177,552,6
2015,0277-3791,370,20
2015,0278-2391,607,1
2015,0278-2626,79,1
2015,0278-4319,140,0
2015,0278-4343,202,11
2015,0278-6915,313,18
2015,0300-2896,225,0
2015,0301-0104,256,6
2015,0301-4215,404,27
2015,0301-4622,84,2
2015,0302-2838,564,22
2015,0304-3770,120,2
2015,0304-3800,377,14
2015,0304-422X,43,0
2015,0304-4238,546,7
2015,0304-8853,1294,6
2015,0305-7488,125,4
2015,0305-750X,292,58
2015,0306-2619,1242,34
2015,0306-4565,122,0
2015,0308-597X,342,48
2015,0308-8146,1640,24
2015,0360-5442,1424,9
2015,0375-9601,583,2
2015,0376-7388,836,10
2015,0376-8716,1856,15
2015,0378-3782,144,2
2015,0378-4371,798,4
2015,0378-5122,621,9
2015,0378-7796,335,10
2015,0378-8733,56,4
2015,0723-2020,84,1
2015,0730-725X,167,4
2015,0732-8893,216,9
2015,0740-8188,50,0
2015,0742-051X,134,2
2015,0747-5632,687,14
2015,0749-596X,67,3
2015,0749-8063,497,1
2015,0828-282X,967,2
2015,0883-5403,546,4
2015,0883-9441,443,4
2015,0887-2333,309,21
2015,0889-1591,429,17
2015,0889-5406,410,0
2015,0890-5096,565,5
2015,0891-4222,258,3
2015,0891-5849,933,29
2015,0894-7317,244,3
2015,0899-9007,267,15
2015,0901-5027,1224,2
2015,0920-3796,662,8
2015,0920-4105,406,3
2015,0921-4488,275,2
2015,0921-5093,1218,13
2015,0925-3467,618,3
2015,0925-4005,1488,11
2015,0925-7535,262,14
2015,0926-6690,954,5
2015,0927-0248,521,9
2015,0928-4931,703,8
2015,0950-0618,1334,12
2015,0950-3293,232,5
2015,0955-3959,194,9
2015,0956-053X,479,11
2015,0956-5663,985,13
2015,0957-1787,58,1
2015,0958-6946,150,4
2015,0959-437X,100,10
2015,0959-6526,1227,31
2015,0960-8524,1538,12
2015,0960-894X,1139,26
2015,0960-8966,634,9
2015,0964-8305,274,0
2015,0967-0645,220,8
2015,0969-6997,104,2
2015,0972-978X,96,0
2015,0973-0826,79,3
2015,1002-0721,194,0
2015,1011-1344,334,4
2015,1040-8428,141,2
2015,1041-6080,163,1
2015,1046-5928,214,9
2015,1048-9843,76,1
2015,1050-4648,512,4
2015,1053-0770,470,5
2015,1057-5219,131,3
2015,1071-9164,798,0
2015,1072-7515,1161,7
2015,1075-2935,28,1
2015,1087-0792,64,1
2015,1125-7865,43,1
2015,1169-8330,144,0
2015,1226-086X,753,1
2015,1297-319X,155,0
2015,1359-4311,1096,2
2015,1359-6101,65,3
2015,1359-6462,372,10
2015,1369-8001,756,6
2015,1386-1425,1634,1
2015,1388-1981,156,15
2015,1462-9011,231,21
2015,1466-8564,149,0
2015,1470-2045,662,15
2015,1471-4892,116,5
2015,1472-6483,212,15
2015,1473-3099,453,17
2015,1476-9271,108,1
2015,1521-6616,186,19
2015,1521-6934,128,1
2015,1525-5050,521,31
2015,1529-9430,1080,6
2015,1570-0232,508,7
2015,1570-9639,204,11
2015,1572-6657,517,3
2015,1631-0748,181,0
2015,1734-1140,326,0
2015,1743-6095,355,0
2015,1747-938X,21,1
2015,1750-5836,332,21
2015,1751-1577,85,4
2015,1752-928X,172,1
2015,1871-1014,133,4
2015,1876-2018,150,0
2015,1877-0517,624,0
2015,1877-1327,63,0
2015,1878-8181,111,0
2015,1881-8366,47,3
2015,2110-7017,36,0
2015,2210-7762,136,2
2015,2212-1447,43,0
2015,2213-2600,338,14
2015,2214-7993,111,0
2015,2352-250X,157,0
2015,2352-5568,86,0
2015,2405-4577,109,2
2015,0009-2541,373,13
2015,0013-7944,538,4
2015,0016-5085,4807,24
2015,0022-0981,220,4
2015,0031-0182,427,12
2015,0032-3861,932,8
2015,0034-4257,435,39
2015,0038-092X,589,9
2015,0043-1354,665,14
2015,0094-114X,186,2
2015,0141-9331,120,0
2015,0142-9612,805,31
2015,0143-7208,482,1
2015,0144-8617,1135,6
2015,0166-4328,671,24
2015,0168-1656,790,24
2015,0169-7439,234,3
2015,0197-3975,214,3
2015,0277-9536,666,70
2015,0304-4165,258,10
2015,0378-1135,341,23
2015,0378-3820,487,3
2015,0378-4274,1303,7
2015,0378-7753,1997,29
2015,0885-2014,52,0
2015,0893-9659,215,1
2015,0921-8009,303,12
2015,0963-9969,583,1
2015,0967-0637,144,20
2015,0968-0896,822,18
2015,1010-6030,252,1
2015,1046-2023,292,25
2015,1542-3565,684,2
2015,1874-3919,347,15
2015,1074-7427,167,11
2015,1590-8658,516,18
2015,1364-8152,246,24
2015,0924-2716,199,11
2015,0085-2538,485,29
2015,0360-1323,422,7
2015,0377-0273,233,17
2015,0944-5013,135,0
2015,1556-0864,348,21
2015,1875-2136,91,0
2015,1877-0568,241,0
2015,1878-5409,112,20
2015,0167-4889,310,12
2015,1532-0464,251,21
2015,0960-9822,838,85
2015,1550-4131,241,7
2015,1074-7613,258,15
2015,1365-182X,214,1
2015,0007-0912,554,0
2015,2213-1779,185,6
2015,0021-8693,495,2
2015,0167-6423,206,2
2015,0923-7534,2814,35
2015,0001-706X,319,24
2015,0002-9149,1100,8
2015,0003-4975,1255,0
2015,0005-1098,438,5
2015,0006-8993,721,29
2015,0007-6813,86,2
2015,0009-9260,284,8
2015,0010-4825,312,7
2015,0017-9310,1169,4
2015,0021-9614,346,6
2015,0022-2011,164,4
2015,0022-2836,332,49
2015,0022-3468,520,4
2015,0022-3549,463,11
2015,0022-3913,316,0
2015,0022-4596,518,4
2015,0022-460X,538,16
2015,0025-7125,123,0
2015,0026-2714,433,3
2015,0029-5493,432,9
2015,0039-9140,914,6
2015,0040-1951,344,6
2015,0040-4020,1224,9
2015,0041-008X,286,13
2015,0044-8486,414,8
2015,0098-1354,217,4
2015,0098-2997,38,0
2015,0143-8166,198,3
2015,0147-1767,90,1
2015,0147-5967,73,1
2015,0147-6513,494,1
2015,0161-5890,394,16
2015,0162-0134,227,4
2015,0165-0327,743,46
2015,0165-0378,210,3
2015,0165-1765,435,13
2015,0165-5876,515,1
2015,0166-3542,201,14
2015,0167-2738,279,5
2015,0167-5877,255,14
2015,0167-6105,201,6
2015,0167-7799,110,2
2015,0167-8191,60,2
2015,0181-5512,265,0
2015,0197-4572,138,2
2015,0210-5705,121,0
2015,0248-8663,851,12
2015,0263-8223,987,11
2015,0264-2751,132,3
2015,0266-1144,62,1
2015,0266-3538,292,6
2015,0267-7261,227,3
2015,0271-5309,55,0
2015,0272-8842,2171,3
2015,0277-5387,740,5
2015,0300-9572,782,17
2015,0301-7516,156,1
2015,0301-9322,176,3
2015,0303-2647,97,6
2015,0304-4076,200,7
2015,0306-4522,927,49
2015,0306-4530,495,14
2015,0306-4603,326,8
2015,0306-9877,347,22
2015,0308-5961,90,1
2015,0360-3016,2742,21
2015,0363-5023,598,1
2015,0378-3774,271,5
2015,0378-4266,303,7
2015,0378-7206,78,0
2015,0387-7604,187,0
2015,0720-048X,381,3
2015,0735-1933,179,0
2015,0735-6757,744,7
2015,0882-5963,201,2
2015,0886-3350,597,8
2015,0890-6238,270,7
2015,0892-1997,174,0
2015,0899-7071,234,0
2015,0921-4526,562,1
2015,0921-5107,178,4
2015,0923-5965,145,2
2015,0924-8579,303,9
2015,0924-977X,1230,18
2015,0925-2312,1302,7
2015,0927-0256,646,8
2015,0927-7765,742,8
2015,0929-1393,200,1
2015,0959-8049,2478,31
2015,0960-1481,819,19
2015,0987-7053,130,0
2015,1036-7314,93,0
2015,1040-6182,733,6
2015,1043-4666,579,5
2015,1044-7431,102,13
2015,1045-2354,79,1
2015,1049-9644,153,3
2015,1054-8807,77,3
2015,1062-9408,75,0
2015,1067-2516,262,0
2015,1120-1797,325,20
2015,1261-694X,137,2
2015,1286-4579,140,6
2015,1293-2558,211,1
2015,1296-2074,125,2
2015,1350-6307,302,1
2015,1359-1789,110,1
2015,1383-5718,157,12
2015,1385-8947,1474,7
2015,1386-9477,399,2
2015,1389-1286,316,5
2015,1424-3903,589,4
2015,1443-9506,1283,2
2015,1469-0292,102,3
2015,1470-160X,441,18
2015,1471-5953,95,0
2015,1499-4046,450,3
2015,1524-0703,31,0
2015,1525-8610,362,13
2015,1544-6123,99,0
2015,1566-0702,525,2
2015,1567-1739,304,0
2015,1568-1637,85,3
2015,1568-9972,144,3
2015,1569-190X,102,3
2015,1569-4410,48,1
2015,1574-9541,131,8
2015,1743-9671,53,0
2015,1748-6815,415,3
2015,1751-6161,302,8
2015,1871-403X,87,0
2015,1872-4973,192,13
2015,1931-7204,243,0
2015,1933-2874,228,11
2015,1934-5925,112,3
2015,2213-1337,78,9
2015,2213-2198,280,8
2015,2213-8587,277,20
2015,0003-4916,352,6
2015,0010-938X,471,6
2015,0014-3057,571,9
2015,0022-0736,201,2
2015,0147-619X,56,2
2015,0149-1970,285,4
2015,0167-5273,2031,37
2015,0167-7012,275,7
2015,0167-7322,665,1
2015,0168-3659,854,24
2015,0169-7722,114,3
2015,0301-4797,597,21
2015,0306-4549,590,13
2015,0748-7983,642,7
2015,0892-6875,322,2
2015,0895-9811,149,0
2015,0921-8831,226,4
2015,0960-0760,237,2
2015,0964-5691,261,19
2015,0981-9428,245,5
2015,1056-8727,239,10
2015,1353-8292,140,21
2015,2214-5524,49,5
2015,0047-6374,57,18
2015,0969-806X,355,6
2015,0195-9255,73,4
2015,0169-2046,189,12
2015,0025-326X,695,27
2015,1568-7864,170,13
2015,0300-483X,155,17
2015,0002-9297,220,30
2015,0022-4049,305,1
2015,0924-0136,414,15
2015,0305-4403,297,19
2015,0584-8547,179,3
2015,0022-202X,562,23
2015,1083-8791,966,4
2015,1098-3015,4682,17
2015,1879-7296,98,0
2015,0294-1449,55,0
2015,0747-7171,64,2
2015,0898-1221,298,4
2015,0002-8177,269,1
2015,0002-8703,311,17
2015,0003-3472,361,26
2015,0003-4266,980,8
2015,0005-7916,104,6
2015,0006-3207,453,39
2015,0006-3223,399,18
2015,0007-4551,181,9
2015,0008-4182,177,0
2015,0011-2240,330,8
2015,0012-821X,626,54
2015,0014-4827,356,16
2015,0016-0032,330,1
2015,0020-0255,623,3
2015,0020-1383,579,7
2015,0020-7462,176,0
2015,0022-0965,153,4
2015,0022-4359,52,1
2015,0022-4405,35,0
2015,0030-3992,296,1
2015,0030-6665,116,0
2015,0031-9384,588,19
2015,0032-0633,252,10
2015,0039-6028,277,3
2015,0041-0101,491,3
2015,0091-3057,222,3
2015,0093-7754,140,2
2015,0098-3004,187,8
2015,0142-0615,543,4
2015,0145-2126,556,7
2015,0146-0005,111,2
2015,0148-2963,352,7
2015,0165-1781,737,13
2015,0165-2427,154,5
2015,0167-7152,351,2
2015,0167-8140,2212,50
2015,0167-8760,211,6
2015,0167-8809,322,14
2015,0167-9457,169,4
2015,0168-0102,134,14
2015,0168-1605,393,6
2015,0169-5347,136,7
2015,0169-8095,267,8
2015,0190-7409,241,6
2015,0191-8869,692,12
2015,0255-2701,192,3
2015,0263-8762,462,4
2015,0264-8172,332,17
2015,0264-8377,319,19
2015,0266-4356,514,1
2015,0268-4012,85,5
2015,0278-5846,135,2
2015,0300-9440,324,2
2015,0301-5629,902,16
2015,0301-679X,372,4
2015,0303-7207,400,12
2015,0304-3894,828,2
2015,0304-3991,227,20
2015,0305-0548,226,1
2015,0305-7372,105,9
2015,0309-1740,396,5
2015,0360-3199,1828,25
2015,0364-5916,293,2
2015,0378-4290,257,16
2015,0379-0738,396,3
2015,0379-6779,403,0
2015,0380-1330,186,8
2015,0531-5565,236,9
2015,0734-743X,188,1
2015,0736-4679,616,1
2015,0740-5472,160,3
2015,0749-6419,133,2
2015,0883-2927,229,10
2015,0887-6185,125,2
2015,0887-8994,281,3
2015,0891-5520,72,0
2015,0920-5861,690,2
2015,0920-9964,494,15
2015,0921-4534,198,1
2015,0925-5273,371,6
2015,0929-1199,112,0
2015,0936-6555,194,2
2015,0939-3889,76,1
2015,0951-8339,63,0
2015,0955-0674,112,13
2015,0955-2219,494,7
2015,0955-2863,192,8
2015,0955-5986,145,5
2015,0955-7997,229,0
2015,0956-5221,53,1
2015,0959-440X,120,15
2015,0960-0779,294,4
2015,0962-8924,93,1
2015,0968-0160,137,2
2015,0969-8043,365,7
2015,0973-6883,220,0
2015,1010-5182,360,2
2015,1053-2498,1207,7
2015,1075-9964,138,0
2015,1078-1439,297,2
2015,1079-9796,140,2
2015,1080-6032,198,0
2015,1089-2516,51,0
2015,1090-7807,224,10
2015,1226-8615,125,0
2015,1286-0115,171,0
2015,1290-0729,289,1
2015,1341-321X,169,4
2015,1361-9209,153,9
2015,1368-8375,283,5
2015,1369-703X,266,1
2015,1381-5148,144,0
2015,1388-2457,816,5
2015,1471-4906,99,4
2015,1477-5131,251,0
2015,1499-2671,467,3
2015,1524-9042,130,1
2015,1532-3382,76,0
2015,1537-1891,200,4
2015,1546-1440,370,2
2015,1553-8389,114,8
2015,1567-5688,56,0
2015,1744-165X,84,1
2015,1875-1768,267,0
2015,1877-3435,112,8
2015,1877-9182,96,0
2015,1878-786X,195,15
2015,2210-271X,353,0
2015,2210-8033,33,1
2015,2212-0955,76,5
2015,2212-4292,48,0
2015,2213-1388,57,1
2015,2213-3984,52,0
2015,2214-8043,94,1
2015,2352-409X,187,9
2015,2405-9390,14,2
2015,8756-3282,393,31
2015,0020-7225,100,2
2015,0031-3025,479,6
2015,0038-1101,258,2
2015,0090-4295,808,5
2015,0091-7435,312,21
2015,0161-813X,139,0
2015,0165-0114,219,2
2015,0167-9473,144,4
2015,0168-9452,228,14
2015,0169-5002,454,15
2015,0193-953X,72,0
2015,0261-5614,905,8
2015,0272-6386,745,12
2015,0303-8467,344,1
2015,0309-1708,185,4
2015,0926-3373,701,6
2015,1047-2797,253,5
2015,1051-2004,151,3
2015,1068-5200,138,1
2015,1464-343X,247,0
2015,1532-0456,97,0
2015,1877-7821,191,15
2015,1874-5482,28,2
2015,0885-3924,554,14
2015,1749-4613,16,1
2015,1054-139X,516,9
2015,1044-579X,84,6
2015,2352-7102,62,1
2015,0022-2828,323,30
2015,0273-2300,285,54
2015,1871-174X,50,0
2015,0378-7788,781,15
2015,2352-4316,62,0
2015,0304-4203,187,14
2015,0042-6822,407,24
2015,1934-5909,200,6
2015,2352-1546,145,11
2015,1931-3128,202,14
2015,0022-1236,234,1
2016,0002-9149,902,28
2016,0002-9378,1760,12
2016,0002-9610,403,4
2016,0003-3472,363,21
2016,0005-1098,449,7
2016,0006-291X,1763,89
2016,0006-3207,384,32
2016,0006-8993,664,27
2016,0007-8506,148,5
2016,0009-2797,355,2
2016,0009-9120,258,5
2016,0010-2180,370,11
2016,0010-8545,228,1
2016,0010-938X,443,11
2016,0012-3692,2548,17
2016,0013-4686,2617,33
2016,0014-2999,596,12
2016,0014-4835,270,19
2016,0014-4886,269,20
2016,0017-9310,1212,12
2016,0019-1035,450,28
2016,0019-3577,87,0
2016,0020-0255,816,5
2016,0020-7489,240,18
2016,0021-9673,1042,18
2016,0021-9797,870,14
2016,0021-9975,261,5
2016,0022-0981,168,6
2016,0022-2860,961,1
2016,0022-328X,417,2
2016,0022-3468,466,2
2016,0022-4073,328,10
2016,0022-4596,486,5
2016,0025-5408,562,1
2016,0026-265X,358,4
2016,0028-3932,421,39
2016,0029-8018,595,9
2016,0030-4018,860,7
2016,0030-4026,1900,5
2016,0030-4387,49,0
2016,0031-3025,574,3
2016,0031-9384,467,20
2016,0032-5910,697,5
2016,0033-3182,96,1
2016,0038-1101,220,3
2016,0039-128X,174,2
2016,0039-9140,1074,9
2016,0040-4039,1430,3
2016,0041-1345,741,10
2016,0043-1648,295,3
2016,0044-8486,535,10
2016,0045-7906,259,0
2016,0048-9697,2520,127
2016,0090-3752,37,0
2016,0090-4295,790,6
2016,0090-8258,982,11
2016,0091-3057,118,0
2016,0093-691X,513,5
2016,0094-5765,472,8
2016,0095-0696,53,1
2016,0098-8472,181,0
2016,0099-1333,139,0
2016,0099-1767,189,1
2016,0099-2399,332,0
2016,0140-1971,151,6
2016,0140-6736,2192,84
2016,0141-0296,678,6
2016,0142-1123,407,2
2016,0142-9612,690,34
2016,0143-7208,491,3
2016,0164-1212,240,5
2016,0165-0327,767,41
2016,0165-7836,318,8
2016,0166-4328,642,17
2016,0166-445X,308,5
2016,0167-7322,1287,1
2016,0167-739X,260,1
2016,0167-8809,518,22
2016,0167-9260,108,0
2016,0168-1605,360,5
2016,0168-1656,782,22
2016,0168-1923,587,11
2016,0168-8278,2126,33
2016,0168-9002,1220,80
2016,0169-1368,271,3
2016,0169-2070,108,3
2016,0169-4332,2166,9
2016,0191-8869,1070,13
2016,0196-0644,992,7
2016,0198-8859,428,3
2016,0208-5216,70,0
2016,0223-5234,763,12
2016,0248-8663,890,1
2016,0257-8972,938,7
2016,0260-8774,381,5
2016,0263-8223,923,17
2016,0263-8231,354,1
2016,0264-9993,366,13
2016,0268-005X,519,10
2016,0272-8842,2572,10
2016,0277-5387,691,3
2016,0277-9536,543,74
2016,0278-4319,124,1
2016,0301-4215,570,47
2016,0301-4622,83,6
2016,0301-4797,770,23
2016,0301-679X,614,10
2016,0301-7516,162,0
2016,0303-8467,326,4
2016,0304-3894,844,8
2016,0304-4068,80,3
