issued_year,issn,articles,oa
2017,0921-5093,1450,16
2017,0924-977X,1515,14
2017,0925-2312,1117,10
2017,0925-3467,677,2
2017,0925-4005,2195,18
2017,0925-8388,4803,8
2017,0950-0618,2115,11
2017,0951-8339,75,2
2017,0956-053X,596,6
2017,0956-5663,961,13
2017,0956-7135,633,10
2017,0957-5820,311,10
2017,0959-6526,2821,62
2017,0964-8305,318,1
2017,0969-806X,402,1
2017,0997-7538,145,1
2017,1010-6030,522,3
2017,1011-1344,389,2
2017,1043-0679,112,1
2017,1043-2760,75,1
2017,1074-7427,213,7
2017,1090-0233,170,9
2017,1095-6433,172,0
2017,1096-7516,31,0
2017,1309-1042,120,1
2017,1342-937X,221,2
2017,1350-4177,515,5
2017,1359-4311,2185,21
2017,1359-5113,347,4
2017,1359-835X,348,7
2017,1364-0321,1435,44
2017,1368-7646,17,3
2017,1369-703X,266,4
2017,1383-5866,785,3
2017,1385-8947,1953,26
2017,1386-1425,773,1
2017,1387-1811,563,3
2017,1388-2457,1373,14
2017,1443-9506,1223,2
2017,1469-0292,113,2
2017,1470-160X,632,25
2017,1473-3099,519,64
2017,1537-5110,169,6
2017,1540-7489,504,14
2017,1544-3191,220,3
2017,1740-6757,26,5
2017,1746-8094,225,5
2017,1751-6161,455,27
2017,1874-3919,282,12
2017,1879-8500,155,3
2017,2210-6707,280,6
2017,2214-7853,1777,8
2017,0002-9378,1796,18
2017,0003-9993,920,7
2017,0007-4551,192,0
2017,0009-9120,249,15
2017,0013-7944,387,3
2017,0013-9351,488,31
2017,0014-3855,84,0
2017,0016-5107,2063,7
2017,0016-7185,256,25
2017,0020-0255,596,4
2017,0021-9975,349,4
2017,0022-1236,257,7
2017,0022-1910,153,3
2017,0022-1996,94,5
2017,0022-3476,903,16
2017,0025-7753,433,1
2017,0029-6554,170,3
2017,0038-092X,850,24
2017,0039-128X,136,0
2017,0039-6060,515,0
2017,0045-7906,273,3
2017,0045-7930,309,9
2017,0049-3848,449,6
2017,0090-4295,861,10
2017,0091-7435,379,24
2017,0096-3003,578,2
2017,0099-1767,180,0
2017,0099-2399,408,0
2017,0144-8617,1374,13
2017,0145-2134,283,22
2017,0148-2963,311,6
2017,0161-4754,99,1
2017,0161-6420,517,21
2017,0165-2478,182,2
2017,0165-5876,438,5
2017,0166-4328,647,15
2017,0166-6851,85,9
2017,0167-4730,68,3
2017,0167-4943,172,4
2017,0167-7322,1621,0
2017,0167-8140,2341,32
2017,0167-8655,280,5
2017,0167-9457,144,2
2017,0169-5002,441,26
2017,0171-9335,78,8
2017,0196-0709,181,0
2017,0255-2701,225,3
2017,0266-4356,708,2
2017,0271-5309,48,0
2017,0275-5319,265,2
2017,0277-5387,676,3
2017,0278-2391,649,3
2017,0278-5846,190,4
2017,0301-0511,240,9
2017,0301-4681,41,4
2017,0305-0548,267,5
2017,0305-7488,133,2
2017,0360-3016,3204,25
2017,0375-9601,697,2
2017,0377-0427,528,5
2017,0377-2217,722,20
2017,0378-2166,145,5
2017,0378-3774,310,9
2017,0378-4274,1091,16
2017,0378-7796,431,7
2017,0378-8741,470,4
2017,0736-4679,651,3
2017,0749-3797,402,29
2017,0749-8063,736,3
2017,0761-8425,928,0
2017,0828-282X,740,6
2017,0883-5403,785,9
2017,0883-9026,41,4
2017,0884-2175,245,1
2017,0888-613X,193,3
2017,0890-8389,39,1
2017,0892-0362,71,1
2017,0895-4356,270,43
2017,0898-1221,417,6
2017,0899-9007,229,3
2017,0924-0136,421,9
2017,0927-5371,91,6
2017,0927-7765,738,7
2017,0939-6411,305,9
2017,0955-2219,622,10
2017,0960-8966,858,12
2017,0963-9969,570,4
2017,0967-5868,545,5
2017,0968-0896,697,11
2017,1051-0443,989,5
2017,1053-2498,1483,7
2017,1059-0560,177,0
2017,1064-7481,412,4
2017,1075-2935,42,0
2017,1096-7192,540,33
2017,1164-5563,79,1
2017,1347-4367,451,1
2017,1360-8592,156,1
2017,1364-8152,234,23
2017,1369-8001,459,2
2017,1440-2440,1021,4
2017,1472-9792,93,9
2017,1474-4422,294,10
2017,1521-6934,108,0
2017,1526-5900,540,12
2017,1529-9430,947,8
2017,1532-0456,119,3
2017,1551-7144,175,11
2017,1567-133X,33,0
2017,1567-1348,332,13
2017,1567-7249,80,5
2017,1568-9883,132,4
2017,1572-6657,672,2
2017,1743-6095,1626,12
2017,1748-6815,315,2
2017,1876-1399,98,1
2017,1877-1297,167,0
2017,1933-2874,306,18
2017,1934-5925,99,4
2017,1936-6574,103,5
2017,2210-7789,226,1
2017,2212-4403,1188,4
2017,2212-4926,45,1
2017,2213-2198,416,15
2017,2352-2208,63,1
2017,2352-5525,88,0
2017,0171-2985,141,9
2017,1883-1958,63,10
2017,1056-8727,285,15
2017,0169-5347,144,10
2017,1631-0721,85,46
2017,0001-4575,340,12
2017,0026-2714,414,5
2017,0018-506X,182,7
2017,0028-3932,346,32
2017,1934-1482,736,5
2017,0378-4371,1019,10
2017,0375-9474,360,200
2017,0960-1481,995,50
2017,0016-7037,534,40
2017,1359-8368,700,7
2017,0166-0934,231,26
2017,0010-4655,285,14
2017,1044-5803,461,4
2017,0013-7952,283,4
2017,0005-2736,252,12
2017,0022-202X,2242,42
2017,0914-5087,241,4
2017,1078-5884,381,7
2017,1556-0864,4616,18
2017,1875-2136,97,1
2017,1878-5409,120,2
2017,1063-4584,1046,26
2017,0969-2126,203,20
2017,1936-8798,818,7
2017,0896-6273,535,43
2017,2451-9456,180,17
2017,0006-3495,3483,71
2017,0735-1097,5696,50
2017,1673-8527,81,2
2017,0960-8524,1610,26
2017,0022-5223,1226,10
2017,0254-6299,489,0
2017,1743-9191,1521,1
2017,0923-7534,2688,70
2017,1525-1578,105,7
2017,0002-9610,462,2
2017,0003-3472,373,25
2017,0003-4916,275,0
2017,0010-2180,356,10
2017,0010-9452,274,34
2017,0012-365X,350,1
2017,0013-4686,2315,33
2017,0019-8501,145,8
2017,0020-0190,122,1
2017,0021-9673,912,30
2017,0022-314X,300,2
2017,0022-4596,421,5
2017,0022-510X,3954,16
2017,0030-6665,133,0
2017,0031-0182,460,9
2017,0031-3025,552,2
2017,0031-3203,418,6
2017,0034-4257,388,47
2017,0038-1098,274,1
2017,0040-4039,1166,6
2017,0041-624X,223,5
2017,0094-114X,215,4
2017,0098-8472,182,4
2017,0140-1963,136,5
2017,0140-1971,130,6
2017,0140-6736,2090,123
2017,0142-9418,412,3
2017,0163-6383,91,2
2017,0166-445X,264,7
2017,0168-583X,769,5
2017,0168-9002,911,51
2017,0168-9525,90,6
2017,0169-7722,83,4
2017,0195-6663,422,27
2017,0195-6698,131,0
2017,0195-6701,270,12
2017,0260-8774,337,2
2017,0264-2751,188,6
2017,0268-005X,470,5
2017,0273-1177,520,6
2017,0304-3894,836,4
2017,0304-3991,230,17
2017,0306-4549,575,9
2017,0360-1323,502,26
2017,0378-3812,308,4
2017,0378-3820,423,9
2017,0385-8146,135,1
2017,0733-8619,71,0
2017,0735-6757,768,9
2017,0736-5853,209,3
2017,0743-0167,193,20
2017,0883-9441,577,12
2017,0888-3270,521,11
2017,0921-4488,224,2
2017,0923-1811,481,8
2017,0926-3373,1020,15
2017,0927-0256,577,4
2017,0928-4931,1431,7
2017,0959-437X,123,22
2017,0959-4388,175,20
2017,0959-8049,1083,39
2017,0960-894X,1032,14
2017,0961-9534,244,19
2017,0966-6362,700,10
2017,0981-9428,350,6
2017,1007-5704,359,4
2017,1043-951X,101,1
2017,1090-7807,220,19
2017,1350-4533,196,17
2017,1359-6454,872,62
2017,1367-9120,416,7
2017,1388-1981,162,7
2017,1474-7065,115,5
2017,1521-6616,187,14
2017,1521-690X,53,2
2017,1555-4155,362,0
2017,1558-7673,283,9
2017,1566-1199,553,9
2017,1567-1739,257,0
2017,1631-073X,205,52
2017,1644-9665,92,0
2017,1742-7061,662,32
2017,1750-5836,253,19
2017,1773-2247,211,0
2017,1775-8785,134,0
2017,1871-1413,235,4
2017,1875-5100,395,1
2017,1931-5244,152,5
2017,2152-2650,825,7
2017,2210-8440,151,0
2017,2214-8043,86,1
2017,2405-4569,109,3
2017,2468-7812,183,4
2017,0002-9149,950,29
2017,0002-9629,260,4
2017,0006-8993,396,10
2017,0008-8846,198,7
2017,0009-9260,336,2
2017,0014-2921,142,3
2017,0014-4800,117,5
2017,0015-0282,1529,13
2017,0016-5085,4707,30
2017,0020-7489,166,9
2017,0022-328X,463,6
2017,0022-3999,334,9
2017,0022-4804,588,7
2017,0024-3795,436,2
2017,0038-1101,213,0
2017,0085-2538,475,29
2017,0143-6228,179,13
2017,0143-974X,378,4
2017,0147-5967,62,2
2017,0161-5890,448,16
2017,0165-1765,411,18
2017,0167-2738,310,3
2017,0168-1699,331,8
2017,0168-8227,323,27
2017,0190-9622,1989,25
2017,0197-0186,174,10
2017,0248-8663,941,0
2017,0261-5614,1069,16
2017,0263-8762,419,2
2017,0277-9536,545,78
2017,0300-9572,631,13
2017,0306-2619,1766,102
2017,0308-521X,165,35
2017,0376-8716,1074,22
2017,0378-5122,510,4
2017,0730-725X,230,7
2017,0741-8329,296,2
2017,0765-1597,98,0
2017,0889-8561,77,0
2017,0901-5027,1503,3
2017,0921-8831,365,5
2017,0924-8579,292,7
2017,0927-538X,84,0
2017,0929-1199,164,1
2017,0952-8180,333,1
2017,0955-3959,240,11
2017,0973-6883,366,0
2017,0985-0562,258,0
2017,1010-5182,329,3
2017,1043-4666,272,6
2017,1052-3057,596,11
2017,1053-0770,587,4
2017,1055-8586,72,1
2017,1071-9164,986,12
2017,1075-9964,178,11
2017,1076-6332,241,5
2017,1091-8531,387,1
2017,1161-0301,134,10
2017,1226-086X,498,1
2017,1350-4487,193,4
2017,1368-8375,289,16
2017,1369-8486,64,2
2017,1383-5769,168,6
2017,1387-3806,221,3
2017,1387-7003,351,2
2017,1389-1286,298,3
2017,1466-8564,183,2
2017,1470-2045,662,25
2017,1477-5131,300,1
2017,1521-6918,86,0
2017,1544-6123,161,2
2017,1547-5271,444,29
2017,1566-7367,404,1
2017,1570-0232,595,10
2017,1590-8658,857,5
2017,1744-165X,75,0
2017,1751-4851,179,1
2017,1756-2317,80,0
2017,1760-2734,67,0
2017,1865-9217,149,7
2017,1871-5192,243,1
2017,2210-271X,372,5
2017,2214-7144,185,0
2017,2352-152X,158,2
2017,0302-2838,563,17
2017,0305-750X,313,34
2017,1046-2023,275,30
2017,1549-9634,253,15
2017,0732-8893,230,13
2017,0266-3538,397,8
2017,0022-2836,311,40
2017,0264-8172,349,9
2017,0277-3791,346,23
2017,1357-2725,222,9
2017,2405-4712,163,42
2017,0010-0277,234,22
2017,0012-821X,603,74
2017,0022-3115,578,20
2017,0007-0912,477,14
2017,0167-4889,244,9
2017,1059-1311,262,6
2017,1877-0568,270,0
2017,2211-5684,162,0
2017,0960-9822,889,104
2017,0012-1606,332,57
2017,0092-8674,547,48
2017,0967-0661,203,1
2017,0020-7683,366,11
2017,0954-6111,296,25
2017,0885-3924,576,4
2017,0002-8703,256,22
2017,0003-6870,293,20
2017,0014-3057,577,14
2017,0019-0578,263,0
2017,0021-9150,1276,39
2017,0021-9797,1207,14
2017,0022-2313,799,4
2017,0022-247X,990,9
2017,0028-3770,186,0
2017,0035-3787,549,0
2017,0039-9140,911,9
2017,0042-207X,501,6
2017,0043-1354,826,46
2017,0044-5231,90,0
2017,0093-691X,513,4
2017,0098-3004,194,10
2017,0140-7007,360,2
2017,0150-9861,183,0
2017,0161-813X,194,7
2017,0167-9236,121,3
2017,0168-1702,309,20
2017,0196-8904,1072,20
2017,0270-9295,71,0
2017,0294-1449,76,0
2017,0301-4215,714,69
2017,0303-2647,81,4
2017,0304-3800,339,17
2017,0304-386X,260,1
2017,0304-3940,769,15
2017,0305-4179,304,3
2017,0306-4530,562,14
2017,0341-8162,376,4
2017,0377-0273,234,12
2017,0378-3839,108,9
2017,0379-0738,421,9
2017,0398-7620,382,0
2017,0883-2927,225,15
2017,0886-3350,431,3
2017,0891-5849,1100,31
2017,0924-2716,202,12
2017,0950-7051,372,8
2017,0951-8320,286,15
2017,0967-0645,214,8
2017,0972-978X,117,0
2017,1047-8477,148,23
2017,1048-6666,54,0
2017,1060-3743,53,0
2017,1081-1206,667,14
2017,1090-9443,53,1
2017,1353-8020,264,13
2017,1359-6446,217,13
2017,1361-9209,258,12
2017,1382-6689,258,2
2017,1386-9477,368,3
2017,1424-3903,787,3
2017,1438-4639,157,24
2017,1476-945X,60,0
2017,1525-5050,458,20
2017,1569-9048,161,5
2017,1572-1000,379,5
2017,1631-0748,133,27
2017,1878-6146,87,0
2017,2095-9273,278,7
2017,2211-2855,718,11
2017,2212-5345,64,0
2017,2213-0780,44,1
2017,2213-2600,296,10
2017,2352-4928,99,2
2017,2352-9245,20,0
2017,2468-7189,147,0
2017,0001-6918,121,7
2017,0006-2952,414,10
2017,0010-7824,335,18
2017,0014-2565,126,0
2017,0016-0032,451,0
2017,0016-3287,98,20
2017,0022-0531,104,2
2017,0022-1031,156,7
2017,0022-4049,168,2
2017,0032-0633,139,4
2017,0046-8177,382,2
2017,0047-2484,115,3
2017,0095-5108,84,3
2017,0141-1136,181,3
2017,0144-8188,26,0
2017,0147-6513,582,4
2017,0164-0704,67,0
2017,0165-0114,190,0
2017,0165-1684,361,4
2017,0165-232X,133,8
2017,0166-0462,61,0
2017,0167-6393,82,2
2017,0167-6687,104,0
2017,0167-739X,325,7
2017,0168-0072,79,3
2017,0168-9452,177,3
2017,0169-8141,76,2
2017,0193-953X,74,0
2017,0195-5616,123,1
2017,0198-8859,452,4
2017,0214-9168,39,0
2017,0268-0033,178,2
2017,0278-4165,57,0
2017,0305-0483,108,1
2017,0360-8352,477,0
2017,0363-0188,79,1
2017,0363-8111,116,0
2017,0364-5916,87,1
2017,0367-326X,202,3
2017,0378-1119,588,11
2017,0734-743X,242,4
2017,0738-0593,64,3
2017,0891-5520,75,0
2017,0920-9964,295,14
2017,0924-2031,116,5
2017,0924-4247,549,13
2017,0927-5398,66,2
2017,0927-7757,887,9
2017,0928-0987,537,14
2017,0950-4230,252,3
2017,0955-2863,210,12
2017,0960-0779,403,4
2017,0968-4328,141,3
2017,0969-8043,400,10
2017,1047-2797,264,3
2017,1049-3867,104,2
2017,1053-4822,53,0
2017,1058-2746,500,5
2017,1063-5203,50,1
2017,1071-5797,109,1
2017,1261-694X,116,0
2017,1286-0115,193,0
2017,1357-3039,157,0
2017,1467-8039,76,4
2017,1471-5953,117,2
2017,1525-8610,380,13
2017,1533-0028,85,12
2017,1542-3565,601,12
2017,1551-7411,261,5
2017,1566-0702,105,2
2017,1872-4973,198,14
2017,1877-5756,73,3
2017,1939-8654,138,1
2017,2210-5395,60,0
2017,2212-4438,34,0
2017,2213-333X,270,4
2017,2213-624X,85,1
2017,2214-3912,38,1
2017,2352-4677,35,1
2017,2405-8513,19,0
2017,1569-1993,758,9
2017,1359-6462,501,21
2017,0033-3506,308,10
2017,0045-7949,211,6
2017,0968-0160,262,2
2017,0920-1211,195,7
2017,1296-2074,169,2
2017,0301-9268,287,6
2017,0272-7714,352,11
2017,1083-8791,914,10
2017,1936-878X,274,9
2017,2214-4048,7,0
2017,1550-4131,252,11
2017,0741-5214,1411,11
2017,0002-8177,441,0
2017,0002-9394,413,13
2017,0003-4975,1109,5
2017,0020-7403,524,7
2017,0021-8502,148,5
2017,0022-1139,205,5
2017,0022-3697,331,3
2017,0023-6438,845,2
2017,0029-5493,456,11
2017,0040-1625,356,31
2017,0094-5765,487,9
2017,0141-0229,151,0
2017,0142-727X,155,5
2017,0145-2126,505,12
2017,0165-4101,45,1
2017,0168-0102,112,6
2017,0169-555X,441,18
2017,0188-4409,112,2
2017,0196-0644,1045,9
2017,0197-4556,75,2
2017,0197-4580,345,32
2017,0257-8972,1167,9
2017,0261-5177,281,10
2017,0272-6386,727,18
2017,0304-4238,507,3
2017,0308-597X,344,34
2017,0740-0020,225,3
2017,0742-051X,236,7
2017,0887-6185,111,6
2017,0944-2006,72,1
2017,0959-4752,93,4
2017,0965-1748,113,6
2017,0966-6923,159,12
2017,0968-090X,238,13
2017,0969-8051,113,4
2017,1040-6182,829,9
2017,1040-6190,141,3
2017,1044-5323,55,3
2017,1084-8045,294,3
2017,1369-5274,139,12
2017,2468-8231,368,2
2017,1384-1076,114,3
2017,1463-5003,107,14
2017,1471-0153,80,0
2017,1471-4914,100,1
2017,1524-9042,106,0
2017,1541-4612,107,2
2017,1568-7864,144,14
2017,1734-1140,201,0
2017,1871-1014,76,5
2017,1876-3820,113,11
2017,1878-8181,183,0
2017,1879-7261,107,0
2017,2213-3437,666,4
2017,2352-409X,414,17
2017,2352-507X,74,0
2017,2387-0206,428,0
2017,0890-5401,120,7
2017,0003-9861,212,7
2017,0006-3223,1432,33
2017,0009-2797,300,4
2017,0009-3084,111,2
2017,0021-9045,70,0
2017,0034-5288,250,10
2017,0040-4020,900,15
2017,0040-6090,711,8
2017,0041-008X,309,14
2017,0041-0101,243,2
2017,0041-1345,500,15
2017,0049-0172,145,14
2017,0147-9571,64,0
2017,0165-5728,206,9
2017,0166-8641,351,2
2017,0167-6636,133,3
2017,0168-9274,182,1
2017,0181-5512,277,0
2017,0266-1144,76,2
2017,0278-6125,114,0
2017,0278-6915,598,40
2017,0301-679X,478,10
2017,0304-4149,147,3
2017,0377-0257,95,5
2017,0378-4266,175,3
2017,0378-4290,279,22
2017,0378-7206,82,0
2017,0393-0440,251,2
2017,0738-3991,328,11
2017,0885-5765,61,1
2017,0890-6238,316,7
2017,0894-1777,354,7
2017,0898-6568,226,15
2017,0925-4927,145,9
2017,0925-7535,245,11
2017,0929-693X,343,0
2017,0953-6205,308,1
2017,0966-9795,224,2
2017,1043-6618,298,10
2017,1044-7431,116,13
2017,1464-343X,330,6
2017,1526-8209,124,9
2017,1618-8667,186,9
2017,1751-9918,102,8
2017,1769-7212,120,3
2017,1876-2018,290,3
2017,1876-2859,315,0
2017,1959-0318,45,0
2017,2050-0521,58,3
2017,2210-6502,60,1
2017,2211-9736,77,0
2017,2352-5568,95,6
2017,2405-4690,183,3
2017,2468-1229,314,0
2017,0002-9343,591,9
2017,0584-8547,165,4
2017,0958-1669,157,17
2017,0921-8009,327,25
2017,0005-7967,175,14
2017,0032-5910,899,16
2017,0010-4485,88,1
2017,1055-7903,311,9
2017,2212-0416,175,19
2017,1365-182X,601,2
2017,0042-6989,167,11
2017,0022-0302,925,7
2017,0006-3207,435,36
2017,0008-8749,119,4
2017,0010-938X,326,8
2017,0011-9164,437,1
2017,0012-3692,1829,21
2017,0020-7462,193,2
2017,0029-8018,607,20
2017,0031-9422,241,1
2017,0039-6028,176,2
2017,0091-3057,134,4
2017,0140-9883,358,11
2017,0144-8609,56,7
2017,0147-0272,57,1
2017,0149-2918,593,46
2017,0163-4453,196,11
2017,0165-0270,205,22
2017,0165-2370,317,9
2017,0167-6377,123,2
2017,0167-7187,78,4
2017,0167-8760,167,1
2017,0168-1591,181,5
2017,0191-2615,206,7
2017,0196-9781,176,4
2017,0260-6917,242,3
2017,0301-0082,93,7
2017,0301-4797,929,22
2017,0304-3479,39,0
2017,0306-9192,111,32
2017,0344-0338,259,2
2017,0361-9230,195,6
2017,0399-077X,451,0
2017,0735-1933,232,0
2017,0748-7983,742,5
2017,0889-5406,400,0
2017,0921-8181,161,10
2017,0926-6690,710,12
2017,0959-3780,112,32
2017,0960-3085,132,0
2017,1045-1056,109,14
2017,1045-2354,46,2
2017,1050-4648,604,8
2017,1051-2276,116,3
2017,1056-8719,346,7
2017,1067-2516,288,3
2017,1072-7515,1316,1
2017,1098-8823,58,3
2017,1134-5934,27,0
2017,1344-6223,81,3
2017,1350-9462,49,6
2017,1359-0294,72,2
2017,1465-3249,591,10
2017,1538-4721,394,0
2017,1550-7289,904,4
2017,1568-4946,622,5
2017,1570-677X,70,3
2017,1701-2163,384,3
2017,1751-1577,107,2
2017,1779-0123,328,0
2017,1877-0517,648,0
2017,1877-7503,144,3
2017,2211-3398,63,2
2017,2212-9820,256,5
2017,2352-3018,142,10
2017,2352-3026,135,5
2017,2352-4855,109,4
2017,2352-7102,147,0
2017,2405-9390,93,3
2017,0026-0495,178,6
2017,0142-9612,587,30
2017,0143-7208,807,2
2017,0143-8166,242,4
2017,0166-3542,262,26
2017,0169-8095,282,9
2017,0196-8858,66,0
2017,0304-4068,83,1
2017,0360-1315,150,7
2017,0889-857X,71,0
2017,0920-5861,628,11
2017,1062-9769,114,0
2017,1090-3798,802,4
2017,1270-9638,450,0
2017,1381-5148,163,0
2017,1546-1440,441,3
2017,1567-5769,369,3
2017,1699-258X,106,0
2017,0020-1383,591,12
2017,0261-5606,134,5
2017,0378-5955,213,53
2017,1525-0016,288,35
2017,1558-7878,87,2
2017,0165-2427,101,8
2017,0016-6480,285,6
2017,0092-640X,22,1
2017,1198-743X,267,25
2017,1534-5807,293,20
2017,0005-1098,510,7
2017,0010-4825,286,2
2017,0011-2240,126,3
2017,0011-2275,116,3
2017,0016-7061,403,11
2017,0016-7878,80,5
2017,0021-9517,363,8
2017,0022-0248,805,8
2017,0022-4359,47,3
2017,0022-4405,48,2
2017,0024-3205,346,3
2017,0025-6196,330,10
2017,0040-5957,145,0
2017,0065-1281,101,1
2017,0090-8258,1010,19
2017,0143-4004,756,19
2017,0149-7189,130,7
2017,0149-7634,357,32
2017,0165-1781,743,15
2017,0167-4048,155,10
2017,0169-2046,241,25
2017,0196-6553,660,17
2017,0197-3975,128,4
2017,0261-2194,301,12
2017,0267-7261,307,4
2017,0273-2300,274,63
2017,0278-4343,211,13
2017,0304-3975,387,5
2017,0304-405X,125,1
2017,0346-251X,146,0
2017,0732-3123,55,0
2017,0749-6419,144,6
2017,0887-8994,265,7
2017,0889-1575,226,3
2017,0889-8588,105,0
2017,0897-1897,136,2
2017,0952-1976,220,1
2017,0959-440X,144,17
2017,0969-5931,90,2
2017,0987-7053,192,0
2017,1002-0721,171,0
2017,1083-3188,281,1
2017,1089-2516,57,0
2017,1092-9134,91,0
2017,1096-6374,53,4
2017,1125-7865,82,2
2017,1226-8615,204,1
2017,1268-7731,546,0
2017,1383-5718,76,3
2017,1389-5567,30,0
2017,1468-1218,142,0
2017,1472-6483,214,8
2017,1473-0502,214,0
2017,1478-4092,27,0
2017,1521-6942,75,2
2017,1556-407X,76,0
2017,1574-1818,60,2
2017,1617-1381,66,3
2017,1744-117X,47,2
2017,1874-3900,266,0
2017,1932-2275,89,0
2017,2210-6561,35,1
2017,2211-9493,9,0
2017,2212-0955,50,1
2017,2212-2672,732,3
2017,2212-4209,210,22
2017,2213-8587,253,13
2017,2214-1405,431,12
2017,2214-5745,112,6
2017,2215-0366,346,32
2017,2352-250X,190,2
2017,2405-4577,226,4
2017,2405-6014,310,0
2017,2451-8476,23,1
2017,2452-0144,99,0
2017,2452-2627,48,2
2017,2452-414X,20,0
2017,2530-0164,112,0
2017,0001-706X,405,21
2017,0003-9969,330,2
2017,0163-7258,142,17
2017,0167-8442,127,0
2017,0169-7439,195,4
2017,0278-2626,106,7
2017,0304-3835,491,26
2017,0378-4754,166,1
2017,0749-596X,110,13
2017,0749-6036,675,1
2017,0885-064X,44,0
2017,0926-860X,384,5
2017,0927-0248,546,21
2017,0964-5691,251,9
2017,1290-0729,356,3
2017,0376-6357,209,5
2017,0957-1787,71,7
2017,0022-1759,134,14
2017,0925-4439,318,11
2017,2211-9124,52,21
2017,1097-2765,389,44
2017,0304-3886,119,0
2017,0944-5013,111,4
2017,1098-3015,2971,27
2017,2405-500X,397,12
2017,1748-0132,75,2
2017,1674-2052,165,26
2017,2352-1546,142,9
2017,1931-3128,204,12
2017,1873-9652,41,3
2017,0739-8859,47,0
2017,0007-4497,28,0
2017,0022-2828,239,15
2017,0022-3549,426,14
2017,0024-4937,349,5
2017,0025-3227,152,10
2017,0025-7125,119,0
2017,0094-1190,55,0
2017,0094-1298,112,0
2017,0099-1333,119,4
2017,0141-9331,164,1
2017,0165-6147,95,2
2017,0165-7836,304,8
2017,0166-2236,71,6
2017,0167-6296,89,8
2017,0169-1317,473,5
2017,0264-3707,59,1
2017,0268-960X,48,2
2017,0277-5395,87,4
2017,0301-0104,211,3
2017,0304-3770,108,0
2017,0304-3878,73,6
2017,0308-0161,73,5
2017,0361-476X,88,2
2017,0362-546X,237,4
2017,0379-7112,206,9
2017,0740-2570,88,0
2017,0899-7071,183,3
2017,0899-8256,165,5
2017,0920-3796,818,117
2017,0923-4748,24,0
2017,0924-2244,208,6
2017,0960-0760,285,10
2017,0963-8695,121,6
2017,0965-8564,256,13
2017,0968-0004,110,7
2017,0997-7546,134,1
2017,1047-3203,199,2
2017,1053-8100,187,15
2017,1054-139X,516,16
2017,1056-4993,81,1
2017,1062-9408,98,0
2017,1067-991X,117,0
2017,1293-2558,198,1
2017,1359-1789,101,0
2017,1472-8117,57,1
2017,1499-4046,532,6
2017,1550-7424,99,20
2017,1571-0645,106,0
2017,2095-4956,161,0
2017,2211-3649,60,1
2017,2211-9264,323,25
2017,2212-4284,17,0
2017,2212-8689,27,0
2017,2405-8033,88,6
2017,0149-1970,203,7
2017,0309-1708,256,20
2017,1386-6532,207,16
2017,0167-9473,188,5
2017,0945-053X,85,9
2017,0047-259X,135,6
2017,0925-4773,642,7
2017,1532-0464,260,14
2017,0042-6822,327,28
2017,0008-4182,241,5
2017,0008-6215,210,10
2017,0010-8545,237,2
2017,0014-4827,444,23
2017,0014-4835,191,11
2017,0019-1035,393,31
2017,0037-0738,120,2
2017,0039-6109,123,1
2017,0079-6816,13,2
2017,0092-6566,104,2
2017,0140-3664,225,3
2017,0141-3910,283,2
2017,0165-0378,140,5
2017,0167-2681,241,8
2017,0167-7799,142,4
2017,0190-7409,411,13
2017,0210-5691,121,0
2017,0263-4368,199,1
2017,0265-9646,42,0
2017,0267-3649,97,1
2017,0304-4076,130,6
2017,0363-5023,376,1
2017,0378-1135,396,15
2017,0883-9417,116,1
2017,0950-5849,110,7
2017,0958-9465,185,1
2017,0965-2299,116,7
2017,1047-9651,82,0
2017,1048-9843,69,0
2017,1050-6411,100,2
2017,1089-8603,102,5
2017,1089-9472,244,2
2017,1093-3263,280,2
2017,1322-7696,78,1
2017,1355-2198,49,2
2017,1462-9011,182,39
2017,1526-6125,275,1
2017,1574-0137,15,0
2017,2213-1388,83,8
2017,2405-8300,55,0
2017,0022-0000,111,8
2017,0167-7152,314,0
2017,0736-5845,117,2
2017,0038-0717,308,13
2017,1369-5266,131,20
2017,0967-0637,147,12
2017,0168-8510,161,37
2017,0145-305X,287,12
2017,1049-9644,146,2
2017,1087-0792,76,3
2017,0001-2998,60,1
2017,0003-2697,310,16
2017,0003-4266,800,0
2017,0009-2541,413,20
2017,0022-0736,215,5
2017,0022-2852,169,5
2017,0027-5107,51,0
2017,0038-0121,38,0
2017,0047-2727,124,6
2017,0049-089X,159,6
2017,0093-6413,99,1
2017,0141-1187,166,7
2017,0142-694X,32,4
2017,0164-1212,220,5
2017,0166-5316,53,1
2017,0167-5877,235,32
2017,0167-6911,138,0
2017,0176-2680,52,1
2017,0272-5231,84,0
2017,0300-2896,277,0
2017,0301-4207,137,10
2017,0301-472X,444,10
2017,0306-9877,309,21
2017,0723-0869,28,0
2017,0740-624X,65,3
2017,0886-7798,200,2
2017,0924-7963,126,4
2017,0939-4753,259,2
2017,0950-3293,195,1
2017,0965-9978,124,3
2017,0969-6989,168,1
2017,1040-8428,180,15
2017,1054-8807,79,7
2017,1078-1439,351,7
2017,1090-5138,97,8
2017,1156-5233,176,0
2017,1350-6307,320,1
2017,1477-8939,130,9
2017,1525-7304,161,14
2017,1556-3707,55,0
2017,1567-5688,110,7
2017,1746-0689,33,0
2017,1750-9467,73,1
2017,1877-9166,29,1
2017,1878-786X,176,0
