issn,subject_area,top_level
0022-0302,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0022-0302,Life Sciences,Agricultural and Biological Sciences
0166-218X,Physical Sciences,Mathematics
0002-9343,Health Sciences,Medicine
0003-3472,Life Sciences,Agricultural and Biological Sciences
0005-1098,Physical Sciences,Engineering
0006-3207,Physical Sciences,Environmental Science
0006-3207,Life Sciences,Agricultural and Biological Sciences
0006-3223,Life Sciences,Neuroscience
0008-4182,Health Sciences,Medicine
0008-8749,Life Sciences,Immunology and Microbiology
0009-3084,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0009-3084,Physical Sciences,Chemistry
0009-8981,Health Sciences,Medicine
0009-8981,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0012-3692,Health Sciences,Medicine
0014-4835,Health Sciences,Medicine
0014-4835,Life Sciences,Neuroscience
0015-0282,Health Sciences,Medicine
0016-5107,Health Sciences,Medicine
0016-7037,Physical Sciences,Earth and Planetary Sciences
0016-7185,Social Sciences,Social Sciences
0016-7878,Physical Sciences,Earth and Planetary Sciences
0020-0190,Physical Sciences,Computer Science
0020-0190,Physical Sciences,Mathematics
0020-0255,Physical Sciences,Computer Science
0020-0255,Social Sciences,Decision Sciences
0020-0255,Physical Sciences,Mathematics
0020-0255,Physical Sciences,Engineering
0022-2828,Health Sciences,Medicine
0022-2828,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0022-3468,Health Sciences,Medicine
0022-3913,Health Sciences,Dentistry
0022-3956,Life Sciences,Neuroscience
0022-3956,Health Sciences,Medicine
0022-510X,Health Sciences,Medicine
0022-510X,Life Sciences,Neuroscience
0025-326X,Physical Sciences,Earth and Planetary Sciences
0025-326X,Physical Sciences,Environmental Science
0025-326X,Life Sciences,Agricultural and Biological Sciences
0025-5564,Life Sciences,Agricultural and Biological Sciences
0025-5564,Physical Sciences,Mathematics
0025-5564,Life Sciences,Immunology and Microbiology
0025-5564,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0027-5107,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0027-5107,Physical Sciences,Environmental Science
0028-3770,Health Sciences,Medicine
0028-3908,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0028-3908,Life Sciences,Neuroscience
0029-8018,Physical Sciences,Engineering
0029-8018,Physical Sciences,Environmental Science
0030-4018,Physical Sciences,Chemistry
0030-4018,Physical Sciences,Physics and Astronomy
0030-4018,Physical Sciences,Materials Science
0030-4018,Physical Sciences,Engineering
0031-9384,Life Sciences,Neuroscience
0031-9384,Social Sciences,Psychology
0038-0717,Life Sciences,Immunology and Microbiology
0038-0717,Life Sciences,Agricultural and Biological Sciences
0038-1098,Physical Sciences,Materials Science
0038-1098,Physical Sciences,Chemistry
0038-1098,Physical Sciences,Physics and Astronomy
0039-3681,Social Sciences,Arts and Humanities
0040-1625,Social Sciences,"Business, Management and Accounting"
0040-1625,Social Sciences,Psychology
0041-624X,Physical Sciences,Physics and Astronomy
0043-1354,Physical Sciences,Environmental Science
0043-1354,Physical Sciences,Engineering
0046-8177,Health Sciences,Medicine
0090-4295,Health Sciences,Medicine
0091-3057,Life Sciences,Neuroscience
0091-3057,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0091-3057,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0099-2399,Health Sciences,Dentistry
0141-0296,Physical Sciences,Engineering
0141-1136,Life Sciences,Agricultural and Biological Sciences
0141-1136,Physical Sciences,Earth and Planetary Sciences
0141-1136,Physical Sciences,Environmental Science
0142-0615,Physical Sciences,Engineering
0142-0615,Physical Sciences,Energy
0142-727X,Physical Sciences,Chemical Engineering
0142-727X,Physical Sciences,Physics and Astronomy
0142-727X,Physical Sciences,Engineering
0162-0134,Physical Sciences,Chemistry
0162-0134,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0164-1212,Physical Sciences,Computer Science
0165-1781,Health Sciences,Medicine
0165-1781,Life Sciences,Neuroscience
0165-2478,Health Sciences,Medicine
0165-2478,Life Sciences,Immunology and Microbiology
0165-9936,Physical Sciences,Chemistry
0166-3542,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0166-3542,Life Sciences,Immunology and Microbiology
0166-4328,Life Sciences,Neuroscience
0166-4972,Social Sciences,"Business, Management and Accounting"
0166-4972,Physical Sciences,Engineering
0167-2789,Physical Sciences,Physics and Astronomy
0167-2789,Physical Sciences,Mathematics
0167-6911,Physical Sciences,Engineering
0167-6911,Physical Sciences,Computer Science
0167-9473,Physical Sciences,Mathematics
0167-9473,Physical Sciences,Computer Science
0168-1656,Physical Sciences,Chemical Engineering
0168-1656,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0168-1656,Life Sciences,Immunology and Microbiology
0169-1317,Physical Sciences,Earth and Planetary Sciences
0171-2985,Health Sciences,Medicine
0171-2985,Life Sciences,Immunology and Microbiology
0181-5512,Health Sciences,Medicine
0260-8774,Life Sciences,Agricultural and Biological Sciences
0261-5177,Social Sciences,"Business, Management and Accounting"
0261-5177,Social Sciences,Social Sciences
0264-2751,Social Sciences,Social Sciences
0264-2751,Social Sciences,"Business, Management and Accounting"
0266-4356,Health Sciences,Dentistry
0266-4356,Health Sciences,Medicine
0268-005X,Physical Sciences,Chemical Engineering
0268-005X,Life Sciences,Agricultural and Biological Sciences
0268-005X,Physical Sciences,Chemistry
0277-9536,Social Sciences,Social Sciences
0277-9536,Social Sciences,Arts and Humanities
0300-9572,Health Sciences,Medicine
0300-9572,Health Sciences,Nursing
0301-679X,Physical Sciences,Engineering
0301-679X,Physical Sciences,Materials Science
0301-679X,Physical Sciences,Physics and Astronomy
0302-2838,Health Sciences,Medicine
0304-3894,Physical Sciences,Environmental Science
0308-8146,Life Sciences,Agricultural and Biological Sciences
0308-8146,Physical Sciences,Chemistry
0360-3199,Physical Sciences,Energy
0360-3199,Physical Sciences,Physics and Astronomy
0360-5442,Physical Sciences,Mathematics
0360-5442,Physical Sciences,Engineering
0360-5442,Physical Sciences,Energy
0360-5442,Physical Sciences,Environmental Science
0360-8352,Physical Sciences,Engineering
0360-8352,Physical Sciences,Computer Science
0376-6357,Life Sciences,Neuroscience
0376-6357,Life Sciences,Agricultural and Biological Sciences
0378-3812,Physical Sciences,Chemistry
0378-3812,Physical Sciences,Physics and Astronomy
0378-3812,Physical Sciences,Chemical Engineering
0378-3839,Physical Sciences,Environmental Science
0378-3839,Physical Sciences,Engineering
0378-4274,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0378-4371,Physical Sciences,Mathematics
0378-4371,Physical Sciences,Physics and Astronomy
0378-5122,Health Sciences,Medicine
0378-5122,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0378-7788,Physical Sciences,Engineering
0378-7796,Physical Sciences,Energy
0378-7796,Physical Sciences,Engineering
0735-6757,Health Sciences,Medicine
0736-5853,Physical Sciences,Computer Science
0736-5853,Physical Sciences,Engineering
0738-3991,Health Sciences,Medicine
0749-3797,Health Sciences,Medicine
0883-5403,Health Sciences,Medicine
0883-9417,Health Sciences,Nursing
0886-7798,Physical Sciences,Engineering
0886-7798,Physical Sciences,Earth and Planetary Sciences
0887-2171,Health Sciences,Medicine
0889-8561,Life Sciences,Immunology and Microbiology
0889-8561,Health Sciences,Medicine
0892-6875,Physical Sciences,Chemistry
0892-6875,Physical Sciences,Engineering
0892-6875,Physical Sciences,Earth and Planetary Sciences
0896-8411,Health Sciences,Medicine
0896-8411,Life Sciences,Immunology and Microbiology
0901-5027,Health Sciences,Medicine
0901-5027,Health Sciences,Dentistry
0920-4105,Physical Sciences,Earth and Planetary Sciences
0920-4105,Physical Sciences,Energy
0920-9964,Health Sciences,Medicine
0920-9964,Life Sciences,Neuroscience
0921-8009,Social Sciences,"Economics, Econometrics and Finance"
0921-8009,Physical Sciences,Environmental Science
0922-1425,Social Sciences,"Economics, Econometrics and Finance"
0922-1425,Social Sciences,Social Sciences
0924-977X,Life Sciences,Neuroscience
0924-977X,Health Sciences,Medicine
0924-977X,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0925-2312,Life Sciences,Neuroscience
0925-2312,Physical Sciences,Computer Science
0925-5214,Life Sciences,Agricultural and Biological Sciences
0926-5805,Physical Sciences,Engineering
0927-0256,Physical Sciences,Chemistry
0927-0256,Physical Sciences,Computer Science
0927-0256,Physical Sciences,Materials Science
0927-0256,Physical Sciences,Mathematics
0927-0256,Physical Sciences,Engineering
0927-0256,Physical Sciences,Physics and Astronomy
0928-0987,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0929-693X,Health Sciences,Medicine
0932-4739,Life Sciences,Immunology and Microbiology
0955-2219,Physical Sciences,Materials Science
0959-4388,Life Sciences,Neuroscience
0959-440X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0960-894X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0960-894X,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0960-894X,Physical Sciences,Chemistry
0965-206X,Health Sciences,Medicine
0968-0896,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0968-0896,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0968-0896,Physical Sciences,Chemistry
0968-090X,Physical Sciences,Engineering
0968-090X,Social Sciences,Social Sciences
0968-090X,Physical Sciences,Computer Science
0968-4328,Physical Sciences,Materials Science
0968-4328,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0968-4328,Physical Sciences,Physics and Astronomy
0969-8043,Physical Sciences,Physics and Astronomy
0985-0562,Health Sciences,Medicine
0985-0562,Health Sciences,Nursing
1041-6080,Social Sciences,Psychology
1041-6080,Social Sciences,Social Sciences
1049-9644,Life Sciences,Agricultural and Biological Sciences
1052-3057,Health Sciences,Medicine
1053-0770,Health Sciences,Medicine
1053-2498,Health Sciences,Medicine
1055-8586,Health Sciences,Medicine
1058-2746,Health Sciences,Medicine
1064-7481,Health Sciences,Medicine
1077-7229,Social Sciences,Psychology
1089-3261,Health Sciences,Medicine
1089-9472,Health Sciences,Nursing
1096-6374,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1096-6374,Health Sciences,Medicine
1146-609X,Physical Sciences,Environmental Science
1146-609X,Life Sciences,Agricultural and Biological Sciences
1350-6307,Physical Sciences,Materials Science
1350-6307,Physical Sciences,Engineering
1357-2725,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1361-8415,Physical Sciences,Computer Science
1361-8415,Health Sciences,Medicine
1361-8415,Health Sciences,Health Professions
1364-6613,Life Sciences,Neuroscience
1364-6613,Social Sciences,Psychology
1367-0484,Health Sciences,Health Professions
1367-0484,Health Sciences,Medicine
1386-6532,Life Sciences,Immunology and Microbiology
1386-6532,Health Sciences,Medicine
1386-9477,Physical Sciences,Physics and Astronomy
1386-9477,Physical Sciences,Materials Science
1387-3806,Physical Sciences,Physics and Astronomy
1387-3806,Physical Sciences,Chemistry
1466-853X,Health Sciences,Medicine
1466-853X,Health Sciences,Health Professions
1521-6942,Health Sciences,Medicine
1538-5442,Health Sciences,Medicine
1541-4612,Health Sciences,Nursing
1544-6123,Social Sciences,"Economics, Econometrics and Finance"
1555-4155,Health Sciences,Nursing
1558-7673,Health Sciences,Medicine
1566-1199,Physical Sciences,Materials Science
1566-1199,Physical Sciences,Engineering
1566-1199,Physical Sciences,Physics and Astronomy
1566-1199,Physical Sciences,Chemistry
1567-1739,Physical Sciences,Materials Science
1567-1739,Physical Sciences,Physics and Astronomy
1572-6657,Physical Sciences,Chemical Engineering
1572-6657,Physical Sciences,Chemistry
1746-8094,Physical Sciences,Computer Science
1746-8094,Health Sciences,Medicine
1751-9918,Health Sciences,Medicine
1751-9918,Health Sciences,Nursing
1874-9399,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1877-0517,Health Sciences,Medicine
1877-1327,Health Sciences,Medicine
1877-3435,Social Sciences,Social Sciences
1877-3435,Physical Sciences,Environmental Science
2095-9273,Multidisciplinary,Multidisciplinary
2210-6707,Social Sciences,Social Sciences
2210-6707,Physical Sciences,Energy
2210-6707,Physical Sciences,Engineering
2214-5745,Life Sciences,Agricultural and Biological Sciences
2352-3026,Health Sciences,Medicine
0165-1684,Physical Sciences,Engineering
0165-1684,Physical Sciences,Computer Science
1091-8531,Health Sciences,Medicine
1383-5866,Physical Sciences,Chemical Engineering
1383-5866,Physical Sciences,Chemistry
1542-3565,Health Sciences,Medicine
1751-6161,Physical Sciences,Engineering
1751-6161,Physical Sciences,Materials Science
2211-3398,Physical Sciences,Energy
2215-0366,Life Sciences,Neuroscience
2215-0366,Health Sciences,Medicine
1525-8610,Health Sciences,Medicine
1525-8610,Health Sciences,Nursing
0168-9002,Physical Sciences,Physics and Astronomy
1750-5836,Physical Sciences,Engineering
1750-5836,Physical Sciences,Energy
1750-5836,Physical Sciences,Environmental Science
0301-0082,Life Sciences,Neuroscience
0168-9452,Life Sciences,Agricultural and Biological Sciences
0168-9452,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0002-9440,Health Sciences,Medicine
0039-6028,Physical Sciences,Materials Science
0039-6028,Physical Sciences,Physics and Astronomy
1878-5409,Health Sciences,Medicine
1674-2052,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1674-2052,Life Sciences,Agricultural and Biological Sciences
0735-1097,Health Sciences,Medicine
1934-5909,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0020-7683,Physical Sciences,Mathematics
0020-7683,Physical Sciences,Materials Science
0020-7683,Physical Sciences,Engineering
0020-7683,Physical Sciences,Physics and Astronomy
0307-904X,Physical Sciences,Mathematics
0012-365X,Physical Sciences,Mathematics
0001-8708,Physical Sciences,Mathematics
0923-7534,Health Sciences,Medicine
0885-3924,Health Sciences,Nursing
0885-3924,Health Sciences,Medicine
0001-6918,Social Sciences,Psychology
0001-6918,Social Sciences,Arts and Humanities
0002-8177,Health Sciences,Dentistry
0002-8703,Health Sciences,Medicine
0002-9149,Health Sciences,Medicine
0005-7967,Health Sciences,Medicine
0005-7967,Social Sciences,Psychology
0008-6215,Physical Sciences,Chemistry
0008-6215,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0008-6223,Physical Sciences,Chemistry
0008-6223,Physical Sciences,Materials Science
0013-7952,Physical Sciences,Earth and Planetary Sciences
0014-2565,Health Sciences,Medicine
0018-506X,Life Sciences,Neuroscience
0018-506X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0021-8502,Physical Sciences,Environmental Science
0021-8502,Physical Sciences,Earth and Planetary Sciences
0021-8502,Physical Sciences,Engineering
0021-8502,Physical Sciences,Chemical Engineering
0022-0248,Physical Sciences,Chemistry
0022-0248,Physical Sciences,Physics and Astronomy
0022-0248,Physical Sciences,Materials Science
0022-0736,Health Sciences,Medicine
0022-0965,Social Sciences,Psychology
0022-1139,Physical Sciences,Chemistry
0022-1139,Physical Sciences,Environmental Science
0022-1139,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0022-1759,Life Sciences,Immunology and Microbiology
0022-1759,Health Sciences,Medicine
0022-4049,Physical Sciences,Mathematics
0022-4596,Physical Sciences,Materials Science
0022-4596,Physical Sciences,Chemistry
0022-4596,Physical Sciences,Physics and Astronomy
0022-460X,Physical Sciences,Engineering
0022-460X,Physical Sciences,Physics and Astronomy
0026-2862,Health Sciences,Medicine
0026-2862,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0029-6554,Health Sciences,Nursing
0030-4026,Physical Sciences,Materials Science
0030-4026,Physical Sciences,Engineering
0030-4026,Physical Sciences,Physics and Astronomy
0034-4257,Life Sciences,Agricultural and Biological Sciences
0034-4257,Physical Sciences,Earth and Planetary Sciences
0038-092X,Physical Sciences,Materials Science
0038-092X,Physical Sciences,Energy
0040-1951,Physical Sciences,Earth and Planetary Sciences
0040-4020,Physical Sciences,Chemistry
0040-4020,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0040-4020,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0047-2727,Social Sciences,"Economics, Econometrics and Finance"
0079-6107,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0079-6611,Life Sciences,Agricultural and Biological Sciences
0079-6611,Physical Sciences,Earth and Planetary Sciences
0090-8258,Health Sciences,Medicine
0093-934X,Social Sciences,Arts and Humanities
0093-934X,Social Sciences,Social Sciences
0093-934X,Social Sciences,Psychology
0093-934X,Health Sciences,Health Professions
0093-934X,Life Sciences,Neuroscience
0142-9612,Physical Sciences,Chemical Engineering
0142-9612,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0142-9612,Physical Sciences,Materials Science
0142-9612,Physical Sciences,Engineering
0145-305X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0145-305X,Life Sciences,Immunology and Microbiology
0149-7634,Life Sciences,Neuroscience
0149-7634,Social Sciences,Psychology
0165-0114,Physical Sciences,Mathematics
0165-0114,Physical Sciences,Computer Science
0165-1889,Social Sciences,"Economics, Econometrics and Finance"
0165-1889,Physical Sciences,Mathematics
0165-5728,Health Sciences,Medicine
0165-5728,Life Sciences,Immunology and Microbiology
0165-5728,Life Sciences,Neuroscience
0167-6296,Health Sciences,Medicine
0167-7187,Social Sciences,"Economics, Econometrics and Finance"
0167-7187,Physical Sciences,Engineering
0167-7187,Social Sciences,"Business, Management and Accounting"
0167-7322,Physical Sciences,Chemistry
0167-7322,Physical Sciences,Physics and Astronomy
0167-7322,Physical Sciences,Materials Science
0168-0102,Life Sciences,Neuroscience
0168-1605,Life Sciences,Immunology and Microbiology
0168-1605,Life Sciences,Agricultural and Biological Sciences
0168-1699,Physical Sciences,Computer Science
0168-1699,Life Sciences,Agricultural and Biological Sciences
0169-023X,Social Sciences,Decision Sciences
0169-1368,Physical Sciences,Earth and Planetary Sciences
0169-8095,Physical Sciences,Earth and Planetary Sciences
0169-8141,Health Sciences,Medicine
0169-8141,Social Sciences,Social Sciences
0176-1617,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0176-1617,Life Sciences,Agricultural and Biological Sciences
0193-953X,Health Sciences,Medicine
0196-9781,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0196-9781,Life Sciences,Neuroscience
0197-4572,Health Sciences,Nursing
0265-931X,Physical Sciences,Environmental Science
0272-4944,Social Sciences,Psychology
0272-7714,Life Sciences,Agricultural and Biological Sciences
0272-7714,Physical Sciences,Earth and Planetary Sciences
0276-5624,Social Sciences,Social Sciences
0301-4215,Physical Sciences,Energy
0301-4215,Physical Sciences,Environmental Science
0301-4797,Physical Sciences,Environmental Science
0301-5629,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0301-5629,Health Sciences,Health Professions
0301-5629,Physical Sciences,Physics and Astronomy
0303-7207,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0304-3991,Physical Sciences,Physics and Astronomy
0304-3991,Physical Sciences,Materials Science
0306-4379,Physical Sciences,Computer Science
0306-9877,Health Sciences,Medicine
0309-1740,Life Sciences,Agricultural and Biological Sciences
0363-8111,Social Sciences,"Business, Management and Accounting"
0363-8111,Social Sciences,Social Sciences
0367-326X,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0377-2217,Social Sciences,Decision Sciences
0377-2217,Physical Sciences,Mathematics
0377-2217,Physical Sciences,Computer Science
0378-1127,Physical Sciences,Environmental Science
0378-1127,Life Sciences,Agricultural and Biological Sciences
0378-3820,Physical Sciences,Chemical Engineering
0378-3820,Physical Sciences,Energy
0378-4290,Life Sciences,Agricultural and Biological Sciences
0378-8741,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0584-8547,Physical Sciences,Physics and Astronomy
0584-8547,Physical Sciences,Chemistry
0738-0593,Social Sciences,Social Sciences
0748-7983,Health Sciences,Medicine
0882-5963,Health Sciences,Nursing
0887-6185,Health Sciences,Medicine
0887-6185,Social Sciences,Psychology
0891-5849,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0891-5849,Health Sciences,Medicine
0892-0362,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0892-0362,Life Sciences,Neuroscience
0892-1997,Health Sciences,Health Professions
0892-1997,Health Sciences,Nursing
0892-1997,Health Sciences,Medicine
0895-9811,Physical Sciences,Earth and Planetary Sciences
0920-3796,Physical Sciences,Energy
0920-3796,Physical Sciences,Materials Science
0920-3796,Physical Sciences,Engineering
0921-8831,Physical Sciences,Chemical Engineering
0921-8831,Physical Sciences,Engineering
0924-0136,Physical Sciences,Materials Science
0924-0136,Physical Sciences,Computer Science
0924-0136,Physical Sciences,Engineering
0925-4927,Health Sciences,Medicine
0925-4927,Life Sciences,Neuroscience
0925-7535,Health Sciences,Medicine
0925-7535,Physical Sciences,Engineering
0925-7535,Social Sciences,Social Sciences
0927-7757,Physical Sciences,Chemistry
0927-7757,Physical Sciences,Chemical Engineering
0927-7757,Physical Sciences,Physics and Astronomy
0936-6555,Health Sciences,Medicine
0940-9602,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0940-9602,Health Sciences,Medicine
0950-5849,Physical Sciences,Computer Science
0957-5820,Physical Sciences,Environmental Science
0957-5820,Physical Sciences,Engineering
0957-5820,Physical Sciences,Chemical Engineering
0960-8966,Health Sciences,Medicine
0960-8966,Life Sciences,Neuroscience
0965-1748,Life Sciences,Agricultural and Biological Sciences
0965-1748,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0966-3274,Life Sciences,Immunology and Microbiology
0966-3274,Health Sciences,Medicine
0967-5868,Health Sciences,Medicine
0967-5868,Life Sciences,Neuroscience
0968-0160,Health Sciences,Medicine
1040-8428,Health Sciences,Medicine
1045-2354,Social Sciences,Decision Sciences
1045-2354,Social Sciences,"Business, Management and Accounting"
1045-2354,Social Sciences,Social Sciences
1045-2354,Social Sciences,"Economics, Econometrics and Finance"
1048-6666,Health Sciences,Medicine
1051-2276,Health Sciences,Medicine
1051-2276,Health Sciences,Nursing
1054-8807,Health Sciences,Medicine
1080-6032,Health Sciences,Medicine
1081-1206,Life Sciences,Immunology and Microbiology
1081-1206,Health Sciences,Medicine
1096-4959,Life Sciences,Agricultural and Biological Sciences
1096-4959,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1290-0729,Physical Sciences,Physics and Astronomy
1290-0729,Physical Sciences,Engineering
1381-5148,Physical Sciences,Chemistry
1381-5148,Physical Sciences,Environmental Science
1381-5148,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1381-5148,Physical Sciences,Materials Science
1381-5148,Physical Sciences,Chemical Engineering
1386-4181,Social Sciences,"Economics, Econometrics and Finance"
1424-3903,Health Sciences,Medicine
1464-343X,Physical Sciences,Earth and Planetary Sciences
1467-8039,Life Sciences,Agricultural and Biological Sciences
1467-8039,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1472-6483,Health Sciences,Medicine
1472-6483,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1475-1585,Social Sciences,Arts and Humanities
1475-1585,Social Sciences,Social Sciences
1476-945X,Life Sciences,Agricultural and Biological Sciences
1476-945X,Physical Sciences,Environmental Science
1525-7304,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1525-7304,Health Sciences,Medicine
1551-7411,Health Sciences,Health Professions
1551-7411,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1567-4223,Social Sciences,"Business, Management and Accounting"
1567-4223,Physical Sciences,Computer Science
1570-0232,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1570-0232,Physical Sciences,Chemistry
1570-6443,Physical Sciences,Engineering
1570-6443,Physical Sciences,Environmental Science
1631-0691,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1631-0691,Life Sciences,Immunology and Microbiology
1631-0691,Life Sciences,Agricultural and Biological Sciences
1631-073X,Physical Sciences,Mathematics
1642-431X,Life Sciences,Agricultural and Biological Sciences
1642-431X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1699-258X,Health Sciences,Medicine
1743-6095,Health Sciences,Medicine
1746-0689,Health Sciences,Medicine
1871-174X,Life Sciences,Agricultural and Biological Sciences
1871-174X,Physical Sciences,Earth and Planetary Sciences
1874-4907,Physical Sciences,Engineering
1875-9637,Physical Sciences,Earth and Planetary Sciences
1877-9182,Health Sciences,Medicine
1879-8500,Health Sciences,Medicine
1881-8366,Physical Sciences,Engineering
1881-8366,Life Sciences,Agricultural and Biological Sciences
1881-8366,Physical Sciences,Chemical Engineering
1931-5244,Health Sciences,Medicine
1931-7204,Social Sciences,Social Sciences
1931-7204,Health Sciences,Medicine
2212-4403,Health Sciences,Medicine
2212-4403,Health Sciences,Dentistry
2212-571X,Social Sciences,"Business, Management and Accounting"
2214-6350,Social Sciences,"Economics, Econometrics and Finance"
2352-409X,Social Sciences,Social Sciences
2352-409X,Social Sciences,Arts and Humanities
2352-4316,Physical Sciences,Engineering
2352-4316,Physical Sciences,Chemical Engineering
2352-4928,Physical Sciences,Materials Science
2352-4928,Physical Sciences,Engineering
2405-6014,Physical Sciences,Physics and Astronomy
0003-9993,Health Sciences,Health Professions
0003-9993,Health Sciences,Medicine
0045-7930,Physical Sciences,Engineering
0045-7930,Physical Sciences,Computer Science
0144-8617,Physical Sciences,Materials Science
0144-8617,Physical Sciences,Chemistry
1045-1056,Physical Sciences,Chemical Engineering
1045-1056,Life Sciences,Immunology and Microbiology
1045-1056,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1045-1056,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1701-2163,Health Sciences,Medicine
0924-2244,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0924-2244,Life Sciences,Agricultural and Biological Sciences
1096-7176,Life Sciences,Immunology and Microbiology
1096-7176,Physical Sciences,Chemical Engineering
1096-7176,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0927-7765,Physical Sciences,Chemistry
0927-7765,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0927-7765,Physical Sciences,Chemical Engineering
0927-7765,Physical Sciences,Physics and Astronomy
0003-9861,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0167-4889,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0914-5087,Health Sciences,Medicine
0944-5013,Life Sciences,Immunology and Microbiology
2211-5684,Health Sciences,Medicine
2211-5684,Health Sciences,Health Professions
0960-9822,Life Sciences,Neuroscience
0960-9822,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0960-9822,Life Sciences,Agricultural and Biological Sciences
1534-5807,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1097-2765,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1365-182X,Health Sciences,Medicine
0024-3795,Physical Sciences,Mathematics
0166-8641,Physical Sciences,Mathematics
0196-8858,Physical Sciences,Mathematics
0304-4149,Physical Sciences,Mathematics
0007-4497,Physical Sciences,Mathematics
0304-3975,Physical Sciences,Computer Science
0304-3975,Physical Sciences,Mathematics
1525-1578,Health Sciences,Medicine
1525-1578,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0075-9511,Life Sciences,Agricultural and Biological Sciences
0003-4916,Physical Sciences,Physics and Astronomy
0011-3840,Health Sciences,Medicine
0011-9164,Physical Sciences,Engineering
0011-9164,Physical Sciences,Chemical Engineering
0011-9164,Physical Sciences,Materials Science
0011-9164,Physical Sciences,Chemistry
0011-9164,Physical Sciences,Environmental Science
0013-7006,Health Sciences,Medicine
0013-7006,Social Sciences,Arts and Humanities
0020-1693,Physical Sciences,Chemistry
0020-1693,Physical Sciences,Materials Science
0022-4405,Social Sciences,Social Sciences
0022-4405,Social Sciences,Psychology
0023-6438,Life Sciences,Agricultural and Biological Sciences
0025-7753,Health Sciences,Medicine
0030-6665,Health Sciences,Medicine
0031-3955,Health Sciences,Medicine
